file_name,artist,title,genre,year,duration,tempo,energy_rms,key_index,spectral_centroid,spectral_bandwidth,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,playcount,listeners
Allianstars - A Jamais.mp3,Allianstars,A Jamais,,2003,273.5623125,172.265625,0.2177236974239349,3.0,2433.782087884891,2633.5949130206254,0.0925122901751161,-82.4480972290039,90.85333251953124,19.771934509277344,16.766891479492188,-1.327329397201539,4.285649299621582,-4.260944366455078,3.533726453781128,-6.337803840637207,2.7251994609832764,-6.377260208129883,-3.4433162212371826,-4.495970249176025,171.0,56.0
Alonzo - Papa allo.mp3,Alonzo,Papa allo,,2018-02-08,208.7967346938776,129.19921875,0.1195583269000053,6.0,2423.6241920879047,2409.1243150221585,0.1114263859326625,-160.33644104003906,82.71327209472656,19.302345275878903,15.34675121307373,-2.272636890411377,5.509668350219727,-7.447400093078613,-1.1918286085128786,-5.131350517272949,-4.658066272735596,-7.000633239746094,1.3615517616271973,-9.53084659576416,26554.0,4592.0
"Amel Bent & HATIK - 1,2,3.mp3","Amel Bent,  & , HATIK","1,2,3",,2020-10-30,223.04,151.99908088235293,0.1223149746656417,0.0,1855.8490920881432,2237.865373563611,0.0724116936556695,-171.476318359375,117.90415954589844,8.04869556427002,10.471039772033691,-11.087698936462402,-4.154484272003174,1.8954592943191524,-10.89881706237793,2.213999032974243,1.80194890499115,1.0400632619857788,1.932666301727295,2.216566801071167,63296.0,10844.0
Amel Bent feat. Dadju - Tu l’aimes encore.mp3,"Amel Bent,  feat. , Dadju",Tu l’aimes encore,,2021-10-01,193.9069387755102,103.359375,0.2790006399154663,0.0,1705.845939857519,2209.2724623711456,0.0478215173302051,-124.09893798828124,111.3235321044922,20.59115028381348,23.116106033325195,2.900637149810791,-3.255165100097656,-4.846236228942871,-1.2571401596069338,5.567779541015625,1.8868767023086548,-1.1654772758483887,3.3210933208465576,-0.4744604825973511,2.0,1.999999999985448
Amir - Longtemps.mp3,Amir,Longtemps,,2019,219.0889795918368,129.19921875,0.1352057158946991,8.0,1916.8944246705776,2199.825296950921,0.0791954772760255,-185.2523193359375,100.68231201171876,5.342918395996094,23.672117233276367,17.773265838623047,-1.015283823013306,-2.25501036643982,0.1174149140715599,-10.326735496520996,-2.0738275051116943,-14.825727462768555,-14.194042205810549,-9.23633098602295,70263.0,11356.000000000015
Amir - Rétine.mp3,Amir,Rétine,,2021-11-12,210.2334693877551,129.19921875,0.055294863879680606,8.0,2014.4322494028129,2346.177394563368,0.0632120138351393,-288.5186462402344,92.39901733398438,28.587684631347656,21.94528579711914,20.215028762817383,6.619332790374756,7.07636833190918,8.226258277893066,-9.843241691589355,-2.7670373916625977,-13.371297836303711,-10.315618515014648,-8.665271759033203,44964.0,7390.0
Andrew Prishchecnko - Track 14.mp3,Andrew Prishchecnko,Track 14,,2003-11-20,132.75428571428571,103.359375,0.2841070890426636,8.0,3013.661386986769,2851.726028831034,0.1272416720080302,-79.4105224609375,63.0949821472168,7.493073463439941,-11.089507102966309,1.6942988634109502,1.7637332677841189,-7.176534652709961,4.843225955963135,-9.636629104614258,-2.708437204360962,-2.839235782623291,4.50398063659668,-2.4074182510375977,398049.83333333326,46960.749999999985
Angel feat. WizKid - Blown Away.mp3,"Angel,  feat. , Wizkid",Blown Away,,2013-01-01,227.1869387755102,92.28515625,0.1144429519772529,8.0,2161.795554081108,2278.734353091724,0.0994402528178212,-125.0440902709961,98.48514556884766,-17.95351791381836,21.7194938659668,0.5653688311576843,2.251836061477661,-0.5535508394241333,9.89830207824707,-3.703397035598755,7.917945861816406,0.3049888610839844,2.881791353225708,-0.19105704128742218,842.0,251.99999999998545
Angèle - Flou.mp3,Angèle,Flou,,2018-10-05,219.76816326530613,117.45383522727272,0.1252534538507461,5.0,2490.6891821742174,2843.966735657003,0.0826251617526122,-173.6037139892578,84.2782974243164,28.34138870239257,18.804187774658203,1.9393230676651,-1.4551136493682857,-5.687111854553223,-14.87722396850586,-5.311080455780029,-13.697280883789062,-14.87447738647461,-10.017816543579102,-11.902145385742188,763001.0,84722.0
Angèle & Roméo Elvis - Tout oublier.mp3,"Angèle,  & , Roméo Elvis",Tout oublier,,2018-10-05,216.11102040816328,135.99917763157896,0.199580430984497,2.0000000000000004,1802.2251600568688,2196.5257541884184,0.0623544982343266,-150.04498291015625,103.25223541259766,26.474609375,26.493547439575195,-1.5728905200958252,1.920615196228028,-2.0525686740875244,-9.878664016723633,-2.3375816345214844,-6.601766586303711,-9.940000534057615,-5.874228477478027,-7.591989040374756,951284.0,106169.0
